"looptype","mean_execution_time","median_execution_time","sd_execution_time","mean_cpu_usage","median_cpu_usage","sd_cpu_usage","mean_memory_usage","median_memory_usage","sd_memory_usage","mean_energy_usage","median_energy_usage","sd_energy_usage"
"loop1",27.86371355,26.694549,8.0266327385489,105.7362,99.995,6.78844822668007,2.95305,2.985,2.08758113551747,81.66655,79.402,24.7425454918935
"loop10",26.3802929,25.7488415,4.72187997520183,105.96395,105.585,6.29649405768171,2.54855,2.089,2.21684103067026,78.034,77.8465,14.7901403857968
"loop10_opt_batching",27.8737262,25.341872,17.9348716853444,105.7695,99.9895,7.42259686079574,3.1614,2.338,3.41664230988323,83.31295,75.441,56.71980148662
"loop10_opt_cacheblocking",29.5908476,26.046046,11.3934118313404,104.69565,99.9895,6.73070400067756,3.3909,2.354,3.24839219987527,88.2874,77.446,35.5267986964918
"loop10_opt_unrolling",24.34870365,22.9571295,8.93570131070011,107.02205,109.9855,6.76245047048697,2.30605,1.9,2.08343955174838,71.1767,66.9075,29.5756285213278
"loop1_opt_batching",29.3897463,25.3844255,16.7072254172441,105.1918,99.992,6.69020332945671,3.0784,2.2075,3.48773584224252,87.7657,74.8755,53.163120602736
"loop1_opt_cacheblocking",32.4949945,26.4445925,18.6140705609149,105.64215,99.982,7.2437782179642,3.62785,2.5315,3.90473912161808,97.9614,78.887,59.1999041165653
"loop1_opt_unrolling",29.59918945,25.2310685,15.8195523620522,105.82465,99.9725,6.8167418538941,2.91655,2.3375,3.51227917417856,88.27155,75.625,50.2715389182378
"loop2",30.7919296,30.922185,8.71673313871829,103.02835,99.9525,5.5920112498475,3.3343,3.2015,1.96085966915158,91.8099,91.4285,27.3773118550841
"loop2_opt_batching",28.0043024,25.5098945,10.6875572764614,105.30945,99.971,6.90326576777443,2.20825,2.333,1.21892903273411,83.43275,75.71,33.3281009184284
"loop2_opt_cacheblocking",24.23352735,21.689772,10.0547417364596,105.4329,99.996,7.00969765021063,2.9438,2.0055,3.39566540413541,71.35295,63.164,31.4005696034072
"loop2_opt_unrolling",34.663566,26.608369,18.2949207499063,104.3402,99.9785,6.2870785751831,3.53435,2.5395,4.00686140822675,104.0894,78.5545,57.6347530624399
"loop3",28.948717,25.5332935,10.980363904212,105.90465,100.026,6.8982980606966,2.8889,2.3085,2.21203311814934,86.4583,76.444,34.5835831224799
"loop3_opt_batching",27.0120727,26.2910625,10.4908850353808,106.75825,104.8385,7.12769335889396,2.9736,1.9,2.68125014832535,80.3391,78.2945,33.1195479595073
"loop3_opt_cacheblocking",38.2334001,36.178683,19.0615718945999,101.87815,99.925,4.84858121705938,4.54305,3.268,4.44731535192566,115.15905,106.882,60.3393493906929
"loop3_opt_unrolling",36.4386209,26.6328875,24.4160241702723,104.0945,99.975,6.05689218120455,4.11735,2.2955,4.64230130402675,110.00175,79.0915,77.3490794555334
"loop4",31.4813271,30.9296415,9.48065135094517,103.52425,99.99,5.60041097058722,2.729,3.131,1.91349421354316,93.71435,90.9795,29.9308793007014
"loop4_opt_batching",30.0090208,24.8354155,19.1686280940271,106.68255,99.9875,7.79965407785567,3.84165,2.1315,4.22869358045347,89.04145,74.4275,60.1952383424356
