"loop_type","W_statistic","p_value"
"loop1",0.966045963800792,0.670172889716635
"loop10",0.955059009171904,0.450423662394041
"loop10_opt_batching",0.928919420613145,0.147193774551451
"loop10_opt_cacheblocking",0.830728367191038,0.00257718681044296
"loop10_opt_unrolling",0.943629889365218,0.280538950296201
"loop1_opt_batching",0.447861785884422,1.10983795990944e-07
"loop1_opt_cacheblocking",0.939225194193299,0.231819841506878
"loop1_opt_unrolling",0.91339353518358,0.0739913971184295
"loop2",0.904016543426628,0.0490767858884613
"loop2_opt_batching",0.661348766936552,1.36565654111723e-05
"loop2_opt_cacheblocking",0.955621061488997,0.460478810307471
"loop2_opt_unrolling",0.935975999772726,0.201062986736587
"loop3",0.940795801766191,0.248220644588831
"loop3_opt_batching",0.735058606374078,0.000107758028395405
"loop3_opt_cacheblocking",0.960046362361595,0.544775786259897
"loop3_opt_unrolling",0.934776463965346,0.190721774362508
"loop4",0.858333096812639,0.0073753309961226
"loop4_opt_batching",0.797821650566174,0.000801836457624503
"loop4_opt_cacheblocking",0.77400187227605,0.000362827848623557
"loop4_opt_unrolling",0.868849435893334,0.0112152916385213
"loop5",0.916588832721989,0.0851979513183329
"loop5_opt_batching",0.888478156177437,0.0252172324248303
"loop5_opt_cacheblocking",0.447392050574242,1.09968664248685e-07
"loop5_opt_unrolling",0.926285016600112,0.130955316725694
"loop6",0.959058375312392,0.525213689223845
"loop6_opt_batching",0.939570868964631,0.235340550622612
"loop6_opt_cacheblocking",0.861850058598337,0.00847523251783512
"loop6_opt_unrolling",0.940855456539882,0.248864262855249
"loop7",0.85049368961395,0.00543284113283554
"loop7_opt_batching",0.924114578833887,0.118926861433977
"loop7_opt_cacheblocking",0.94035310828178,0.24349221012119
"loop7_opt_unrolling",0.944229221474449,0.287842260645908
"loop8",0.881785623757064,0.0190530213823767
"loop8_opt_batching",0.939925152934829,0.239000590165441
"loop8_opt_cacheblocking",0.945148345253586,0.299371401367285
"loop8_opt_unrolling",0.800364873184823,0.000874846838219526
"loop9",0.931380955132755,0.164156669693247
"loop9_opt_batching",0.90775188525412,0.0577581280512476
"loop9_opt_cacheblocking",0.946647254472982,0.319045053292955
"loop9_opt_unrolling",0.857954522009338,0.00726629919557901
