"loop_type","W_statistic","p_value"
"loop1",0.966086193816398,0.671037515715794
"loop10",0.955165500783021,0.452316878100638
"loop10_opt_batching",0.928910941092733,0.147138432761722
"loop10_opt_cacheblocking",0.831792177047559,0.00268036104636961
"loop10_opt_unrolling",0.943825897824497,0.282909007619428
"loop1_opt_batching",0.448400023121192,1.12159176120154e-07
"loop1_opt_cacheblocking",0.939232842558097,0.231897205633297
"loop1_opt_unrolling",0.91347230417348,0.0742486508011749
"loop2",0.904034267484969,0.0491146157560683
"loop2_opt_batching",0.661764214424864,1.38063856688411e-05
"loop2_opt_cacheblocking",0.955648037849049,0.460965309421362
"loop2_opt_unrolling",0.936059722434133,0.201804451328269
"loop3",0.940796789334163,0.248231287000923
"loop3_opt_batching",0.735297255696908,0.000108531808701402
"loop3_opt_cacheblocking",0.960039075709798,0.54463008964818
"loop3_opt_unrolling",0.934791129750279,0.190845069755292
"loop4",0.858628316584409,0.00746155992357709
"loop4_opt_batching",0.798504074484069,0.000820767192047414
"loop4_opt_cacheblocking",0.774432206188662,0.000367931223628216
"loop4_opt_unrolling",0.869228856647625,0.0113884101135367
"loop5",0.916621500049459,0.0853210762337423
"loop5_opt_batching",0.88850168928454,0.0252422813069278
"loop5_opt_cacheblocking",0.447833314011131,1.1092198462504e-07
"loop5_opt_unrolling",0.926322809673235,0.131175187190557
"loop6",0.95909903282639,0.526010858404069
"loop6_opt_batching",0.939580935560865,0.235443822500449
"loop6_opt_cacheblocking",0.861910028089579,0.00849543101251451
"loop6_opt_unrolling",0.940818883959681,0.248469497232842
"loop7",0.850644042691625,0.00546449164901286
"loop7_opt_batching",0.924161974354358,0.119177326958834
"loop7_opt_cacheblocking",0.940313771733786,0.243076109605274
"loop7_opt_unrolling",0.944210771147755,0.287614920808468
"loop8",0.881708688962371,0.0189921824371209
"loop8_opt_batching",0.939918259442803,0.238928872671894
"loop8_opt_cacheblocking",0.945275692611287,0.301000572513136
"loop8_opt_unrolling",0.800444370561456,0.000877240185731072
"loop9",0.931566610430384,0.165511144177543
"loop9_opt_batching",0.908093570516943,0.0586278733313026
"loop9_opt_cacheblocking",0.946844712331177,0.321718636883819
"loop9_opt_unrolling",0.858165079348731,0.00732672830781984
