loop_type,execution_time_mean,execution_time_median,execution_time_std,cpu_usage_mean,cpu_usage_median,cpu_usage_std,memory_usage_mean,memory_usage_median,memory_usage_std,energy_usage_mean,energy_usage_median,energy_usage_std
loop1,31.74873817,31.741557,0.098315902,99.90433333,99.91,0.05862309,3.207166667,3.2065,0.007440878,90.70683333,90.8495,0.457181109
loop1_opt_cacheblocking,19.78679983,19.54099,0.96180344,99.7395,99.7525,0.185602532,2.0515,2.0675,0.047483681,49.80933333,50.381,1.88979879
loop2,59.01782033,58.185748,1.623102232,99.88983333,99.928,0.098339039,0.2,0.2,0,172.4625,172.26,1.434336606
loop2_opt_batching,61.9002425,61.9846435,3.260860066,98.79433333,99.483,1.332863184,0.2,0.2,0,171.5325,171.8945,1.807975083
loop3,31.510231,31.454247,0.153435374,99.9135,99.9015,0.040771313,3.066,3.07,0.01834121,90.59883333,90.55,0.471256795
loop3_opt_batching,18.334414,17.996839,1.453531948,98.53033333,99.482,2.083773852,1.636333333,1.644,0.029248362,44.394,44.086,2.298191202
loop3_opt_cacheblocking,35.47014433,35.321099,0.725692308,99.8025,99.8615,0.131006488,3.3335,3.343,0.069203324,98.78133333,100.033,2.537493067
loop4,29.73704783,29.056953,1.383952382,99.856,99.9315,0.184661853,3.4295,3.4295,0.0522561,81.09616667,81.986,2.096143546
loop4_opt_batching,22.2943025,22.1444645,0.660179251,99.45083333,99.73,0.88257655,2.610166667,2.5975,0.045278766,59.65516667,59.501,0.598007163
loop5,52.55195883,52.013393,1.517496868,99.687,99.776,0.327347522,4.161166667,4.152,0.028791781,152.5053333,151.838,2.087728878
loop5_opt_cacheblocking,53.86044983,53.4028935,1.13005211,99.84433333,99.8705,0.132445712,4.299,4.2815,0.029826163,156.2971667,156.4955,1.46755871
loop5_opt_unrolling,53.20408383,53.316265,0.498122846,99.87066667,99.909,0.082111307,4.1495,4.1575,0.030349629,156.1256667,155.381,1.340177849
