"loop_type","W_statistic","p_value"
"loop1",0.767793196713554,0.000297025103672342
"loop10_opt_cacheblocking",0.235873897064101,2.69307788806347e-09
"loop1_opt_batching",0.797711788738868,0.00079883256408348
"loop1_opt_cacheblocking",0.86863661134394,0.0111194072478881
"loop1_opt_unrolling",0.942097158216743,0.262614053481382
"loop2",0.801419130470469,0.000907160097442949
"loop2_opt_batching",0.592561431442282,2.46838204466753e-06
"loop2_opt_cacheblocking",0.916048647387683,0.0831880567412524
"loop2_opt_unrolling",0.967925650607734,0.710609320659621
"loop3",0.74700001232368,0.000154787583692781
"loop3_opt_batching",0.785318768807732,0.000526134188235669
"loop3_opt_cacheblocking",0.71161792826859,5.42054197834291e-05
"loop3_opt_unrolling",0.719670853409829,6.84023374595255e-05
"loop4",0.543562793485072,8.08036960668673e-07
"loop4_opt_batching",0.255369993082744,3.67570219894334e-09
"loop4_opt_cacheblocking",0.351223391474904,1.8460159717273e-08
"loop4_opt_unrolling",0.466484798207001,1.60412471053942e-07
"loop5",0.88323763007568,0.0202405894734467
"loop5_opt_batching",0.886986805217836,0.0236819067622827
"loop5_opt_cacheblocking",0.791578632487003,0.000648761193408357
"loop5_opt_unrolling",0.787287610259916,0.000561797695536409
"loop6",0.856128759711195,0.00676395587517626
"loop6_opt_batching",0.921210427470967,0.104547810162391
"loop6_opt_cacheblocking",0.918601720871659,0.0931336528815112
"loop6_opt_unrolling",0.949388969870114,0.357910152213799
"loop7",0.771908468682384,0.000339055281616913
"loop7_opt_batching",0.869019061437615,0.0112923400131454
"loop7_opt_cacheblocking",0.907954279316507,0.0582716899975148
"loop7_opt_unrolling",0.888586843572617,0.0253331390373866
"loop8",0.235873897064101,2.69307788806347e-09
"loop8_opt_cacheblocking",0.235873897064101,2.69307788806347e-09
"loop8_opt_unrolling",0.448160356730219,1.11634183007059e-07
"loop9",0.707748342240757,4.85322563312669e-05
"loop9_opt_batching",0.738788819138539,0.000120555159442379
"loop9_opt_cacheblocking",0.673074245007038,1.86361377001873e-05
"loop9_opt_unrolling",0.787109407916061,0.000558466144823792
"loop10",NA,NA
"loop10_opt_batching",NA,NA
"loop10_opt_unrolling",NA,NA
"loop8_opt_batching",NA,NA
