"loop_type","W_statistic","p_value"
"loop1",0.769673432312636,0.000315494986005032
"loop10_opt_cacheblocking",0.235873897064101,2.69307788806347e-09
"loop1_opt_batching",0.799358610676375,0.000845146291808939
"loop1_opt_cacheblocking",0.868469713261045,0.0110448212979728
"loop1_opt_unrolling",0.941606218057553,0.257096591927922
"loop2",0.803599035451938,0.000978076967651889
"loop2_opt_batching",0.595129730276818,2.62285304627987e-06
"loop2_opt_cacheblocking",0.915554125854444,0.0813905390772308
"loop2_opt_unrolling",0.968080442680787,0.71393429184234
"loop3",0.748338200557566,0.000161285447717847
"loop3_opt_batching",0.787138287420477,0.000559004624258957
"loop3_opt_cacheblocking",0.712384586784984,5.54109783147314e-05
"loop3_opt_unrolling",0.720687189910245,7.04579403394784e-05
"loop4",0.543562793485072,8.08036960668673e-07
"loop4_opt_batching",0.255581383421396,3.68823003853896e-09
"loop4_opt_cacheblocking",0.351223391474904,1.84601597172731e-08
"loop4_opt_unrolling",0.46664848159255,1.60938435202023e-07
"loop5",0.884117792794732,0.0209981976561276
"loop5_opt_batching",0.886544688216339,0.0232458798593539
"loop5_opt_cacheblocking",0.793943037125849,0.000702714029518807
"loop5_opt_unrolling",0.788992491010025,0.000594762611590296
"loop6",0.856484158123431,0.00685877271450259
"loop6_opt_batching",0.921822356460322,0.107424322904647
"loop6_opt_cacheblocking",0.918206530977462,0.0915183471591957
"loop6_opt_unrolling",0.949551496283585,0.360333204259837
"loop7",0.772846192920755,0.000349492121744696
"loop7_opt_batching",0.86907607319683,0.0113183618621172
"loop7_opt_cacheblocking",0.908227518398738,0.0589725161725841
"loop7_opt_unrolling",0.888413368834299,0.0251484069164812
"loop8",0.235873897064101,2.69307788806347e-09
"loop8_opt_cacheblocking",0.235873897064101,2.69307788806347e-09
"loop8_opt_unrolling",0.448042255754366,1.11376438493638e-07
"loop9",0.707711638702704,4.84815741784685e-05
"loop9_opt_batching",0.738588895155998,0.00011982976767924
"loop9_opt_cacheblocking",0.672663429451815,1.843232813658e-05
"loop9_opt_unrolling",0.786408339502702,0.000545562314384738
"loop10",NA,NA
"loop10_opt_batching",NA,NA
"loop10_opt_unrolling",NA,NA
"loop8_opt_batching",NA,NA
