__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_9_repetition_0,DONE,r2,no,loop13,35.241089,106.794,1.135,102.524
run_0_repetition_0,DONE,r1,no,loop9,24.383545,99.9,2.287,69.7
run_2_repetition_0,DONE,r1,no,loop11,17.244595,116.0,1.812,48.725
run_11_repetition_0,DONE,r3,no,loop10,25.801316,111.44,1.9,74.317
run_23_repetition_0,DONE,r5,no,loop12,25.257014,110.833,0.3,73.906
run_24_repetition_0,DONE,r5,no,loop13,35.023682,109.121,1.152,96.041
run_29_repetition_0,DONE,r6,no,loop13,35.708539,108.912,1.174,102.901
run_3_repetition_0,DONE,r1,no,loop12,24.556591,111.522,0.3,70.677
run_5_repetition_0,DONE,r2,no,loop9,24.317989,99.865,2.304,68.334
run_7_repetition_0,DONE,r2,no,loop11,17.545845,115.176,1.735,48.564
run_14_repetition_0,DONE,r3,no,loop13,36.538645,105.171,1.129,99.406
run_20_repetition_0,DONE,r5,no,loop9,24.612337,99.696,2.274,69.874
run_8_repetition_0,DONE,r2,no,loop12,24.70672,111.083,0.3,71.049
run_25_repetition_0,DONE,r6,no,loop9,24.445327,99.922,2.278,69.503
run_12_repetition_0,DONE,r3,no,loop11,17.326576,116.0,1.812,48.533
run_6_repetition_0,DONE,r2,no,loop10,26.531872,111.08,1.9,73.536
run_18_repetition_0,DONE,r4,no,loop12,24.730778,111.0,0.3,69.566
run_1_repetition_0,DONE,r1,no,loop10,26.791851,111.154,1.9,73.537
run_21_repetition_0,DONE,r5,no,loop10,27.806599,110.148,1.837,79.265
run_16_repetition_0,DONE,r4,no,loop10,26.782113,110.885,1.9,77.202
run_22_repetition_0,DONE,r5,no,loop11,17.033337,115.875,1.812,45.948
run_4_repetition_0,DONE,r1,no,loop13,36.261747,108.4,1.12,106.218
run_19_repetition_0,DONE,r4,no,loop13,34.733856,108.909,1.121,99.691
run_10_repetition_0,DONE,r3,no,loop9,24.674155,99.974,2.274,69.815
run_27_repetition_0,DONE,r6,no,loop11,17.138066,115.062,1.788,48.746
run_17_repetition_0,DONE,r4,no,loop11,17.55328,115.059,1.718,48.758
run_15_repetition_0,DONE,r4,no,loop9,24.865404,99.925,2.188,66.64
run_28_repetition_0,DONE,r6,no,loop12,25.280432,111.083,0.3,73.088
run_13_repetition_0,DONE,r3,no,loop12,24.93908,110.958,0.3,71.024
run_26_repetition_0,DONE,r6,no,loop10,27.674613,110.692,1.9,80.119
