__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_47_repetition_0,DONE,r5,yes,loop7_opt_predicate,36.086452,99.888,3.265,102.674
run_2_repetition_0,DONE,r1,yes,loop6_opt_cacheblocking,26.595156,111.24,1.184,77.513
run_56_repetition_0,DONE,r6,yes,loop7_opt_cacheblocking,35.862832,99.776,3.285,102.72
run_58_repetition_0,DONE,r6,yes,loop7_opt_unrolling,36.060074,99.891,3.268,103.341
run_46_repetition_0,DONE,r5,yes,loop7_opt_cacheblocking,36.205759,99.94,3.171,105.858
run_34_repetition_0,DONE,r4,yes,loop6_opt_predicate,31.233594,109.8,1.183,92.746
run_12_repetition_0,DONE,r2,yes,loop6_opt_cacheblocking,26.205601,111.32,1.184,77.648
run_8_repetition_0,DONE,r1,yes,loop7_opt_unrolling,35.858661,99.944,3.291,101.867
run_23_repetition_0,DONE,r3,yes,loop6_opt_collapsing,30.441555,109.931,1.183,89.315
run_14_repetition_0,DONE,r2,yes,loop6_opt_predicate,31.002691,109.767,1.187,89.423
run_13_repetition_0,DONE,r2,yes,loop6_opt_collapsing,30.69292,109.724,1.183,89.026
run_35_repetition_0,DONE,r4,yes,loop6_opt_unrolling,28.378406,110.815,1.185,83.474
run_51_repetition_0,DONE,r6,yes,loop5_opt_unrolling,53.598549,99.721,4.108,158.371
run_30_repetition_0,DONE,r4,yes,loop5_opt_cacheblocking,53.160554,99.924,4.278,158.009
run_18_repetition_0,DONE,r2,yes,loop7_opt_unrolling,36.132404,99.947,3.276,102.314
run_33_repetition_0,DONE,r4,yes,loop6_opt_collapsing,30.940586,109.733,1.183,89.645
run_16_repetition_0,DONE,r2,yes,loop7_opt_cacheblocking,36.329522,99.837,3.22,105.561
run_59_repetition_0,DONE,r6,yes,loop8_opt_predicate,20.688778,99.975,8.19,57.313
run_19_repetition_0,DONE,r2,yes,loop8_opt_predicate,20.732997,99.82,8.23,57.372
run_3_repetition_0,DONE,r1,yes,loop6_opt_collapsing,30.985016,109.5,1.183,89.836
run_1_repetition_0,DONE,r1,yes,loop5_opt_unrolling,53.600945,99.908,4.121,157.192
run_15_repetition_0,DONE,r2,yes,loop6_opt_unrolling,29.470238,110.607,1.186,86.262
run_10_repetition_0,DONE,r2,yes,loop5_opt_cacheblocking,55.512505,99.592,4.326,157.023
run_57_repetition_0,DONE,r6,yes,loop7_opt_predicate,36.377598,99.754,3.2,103.559
run_24_repetition_0,DONE,r3,yes,loop6_opt_predicate,31.346097,109.3,1.183,90.869
run_9_repetition_0,DONE,r1,yes,loop8_opt_predicate,21.459166,99.805,8.505,60.346
run_43_repetition_0,DONE,r5,yes,loop6_opt_collapsing,31.865861,109.742,1.184,92.173
run_55_repetition_0,DONE,r6,yes,loop6_opt_unrolling,29.063801,109.893,1.182,83.3
run_28_repetition_0,DONE,r3,yes,loop7_opt_unrolling,35.972434,99.95,3.285,102.728
run_22_repetition_0,DONE,r3,yes,loop6_opt_cacheblocking,27.148515,110.692,1.185,80.161
run_25_repetition_0,DONE,r3,yes,loop6_opt_unrolling,28.387218,110.63,1.185,82.983
run_26_repetition_0,DONE,r3,yes,loop7_opt_cacheblocking,35.894504,99.888,3.282,102.444
run_27_repetition_0,DONE,r3,yes,loop7_opt_predicate,36.455893,99.817,3.271,105.908
run_32_repetition_0,DONE,r4,yes,loop6_opt_cacheblocking,27.398992,109.654,1.185,77.328
run_38_repetition_0,DONE,r4,yes,loop7_opt_unrolling,37.096488,99.577,3.269,103.13
run_50_repetition_0,DONE,r6,yes,loop5_opt_cacheblocking,52.88095,99.969,4.28,154.588
run_36_repetition_0,DONE,r4,yes,loop7_opt_cacheblocking,36.300013,99.754,3.177,105.734
run_29_repetition_0,DONE,r3,yes,loop8_opt_predicate,21.277608,99.91,8.495,60.297
run_53_repetition_0,DONE,r6,yes,loop6_opt_collapsing,30.549333,110.103,1.186,89.501
run_31_repetition_0,DONE,r4,yes,loop5_opt_unrolling,53.033981,99.91,4.161,155.503
run_5_repetition_0,DONE,r1,yes,loop6_opt_unrolling,29.347505,110.571,1.186,86.644
run_42_repetition_0,DONE,r5,yes,loop6_opt_cacheblocking,26.248106,111.64,1.184,76.751
run_52_repetition_0,DONE,r6,yes,loop6_opt_cacheblocking,26.267827,111.48,1.184,76.861
run_7_repetition_0,DONE,r1,yes,loop7_opt_predicate,36.051871,99.921,3.279,102.961
run_11_repetition_0,DONE,r2,yes,loop5_opt_unrolling,52.411112,99.942,4.192,155.25
run_20_repetition_0,DONE,r3,yes,loop5_opt_cacheblocking,53.645233,99.89,4.281,157.547
run_37_repetition_0,DONE,r4,yes,loop7_opt_predicate,36.817904,99.983,3.286,105.741
run_44_repetition_0,DONE,r5,yes,loop6_opt_predicate,30.699951,110.034,1.186,89.032
run_39_repetition_0,DONE,r4,yes,loop8_opt_predicate,21.275965,99.825,8.485,60.704
run_54_repetition_0,DONE,r6,yes,loop6_opt_predicate,31.432092,109.733,1.183,92.818
run_0_repetition_0,DONE,r1,yes,loop5_opt_cacheblocking,55.013909,99.84,4.347,155.968
run_17_repetition_0,DONE,r2,yes,loop7_opt_predicate,36.959842,99.563,3.257,102.011
run_4_repetition_0,DONE,r1,yes,loop6_opt_predicate,31.585671,109.833,1.187,90.788
run_6_repetition_0,DONE,r1,yes,loop7_opt_cacheblocking,36.142841,99.971,3.268,105.752
run_48_repetition_0,DONE,r5,yes,loop7_opt_unrolling,36.898312,99.863,3.286,105.302
run_40_repetition_0,DONE,r5,yes,loop5_opt_cacheblocking,52.949548,99.851,4.282,154.648
run_21_repetition_0,DONE,r3,yes,loop5_opt_unrolling,53.647059,99.912,4.156,155.259
run_45_repetition_0,DONE,r5,yes,loop6_opt_unrolling,29.226755,109.893,1.186,86.238
run_41_repetition_0,DONE,r5,yes,loop5_opt_unrolling,52.932857,99.831,4.159,155.179
run_49_repetition_0,DONE,r5,yes,loop8_opt_predicate,21.441225,100.015,8.505,60.452
