Date,CPU Utilization,CPU Power
2024-10-24 13:13:04,0.25253,2.35268
2024-10-24 13:13:05,0.25,2.74925
2024-10-24 13:13:06,0.24745,1.9086
2024-10-24 13:13:07,0.25505,2.33498
2024-10-24 13:13:08,0.2475,2.29278
2024-10-24 13:13:09,0.2525,2.36497
2024-10-24 13:13:10,0.25,2.17646
2024-10-24 13:13:11,0.25,1.83791
2024-10-24 13:13:12,0.24747,2.11755
2024-10-24 13:13:13,0.25253,2.15741
2024-10-24 13:13:14,0.25253,2.49672
2024-10-24 13:13:15,0.25,2.49352
2024-10-24 13:13:16,0.25253,2.38012
2024-10-24 13:13:17,0.25253,2.33162
2024-10-24 13:13:18,0.25253,2.29682
2024-10-24 13:13:19,0.25,2.39173
2024-10-24 13:13:20,0.25505,2.42925
2024-10-24 13:13:21,0.24235,1.84362
2024-10-24 13:13:22,0.25,2.24898
2024-10-24 13:13:23,0.2475,2.50371
2024-10-24 13:13:24,0.25253,2.35268
2024-10-24 13:13:25,0.2475,2.86874
2024-10-24 13:13:26,0.2525,2.9971
2024-10-24 13:13:27,0.25,2.93176
2024-10-24 13:13:28,0.25253,3.0326
2024-10-24 13:13:29,0.25,2.6869
2024-10-24 13:13:30,0.25253,2.94086
2024-10-24 13:13:31,0.25253,2.73436
2024-10-24 13:13:32,0.2475,2.69622
2024-10-24 13:13:33,0.25505,2.95301
2024-10-24 13:13:34,0.2475,2.93775
