cpu_usage,memory_usage
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
99.8,0.2
100.0,0.2
100.0,0.2
100.0,0.2
99.9,0.2
99.9,0.2
99.9,0.2
100.0,0.2
99.9,0.2
99.8,0.2
99.9,0.2
99.9,0.2
100.0,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
100.0,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
100.0,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
