cpu_usage,memory_usage
101.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
100.0,0.2
99.8,0.2
100.0,0.2
99.8,0.2
99.8,0.2
100.0,0.2
100.0,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.8,0.2
100.0,0.2
99.8,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.8,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.8,0.2
99.9,0.2
99.8,0.2
99.9,0.2
99.9,0.2
99.8,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.9,0.2
99.8,0.2
99.5,0.2
99.0,0.2
99.0,0.2
99.1,0.2
99.1,0.2
99.1,0.2
99.0,0.2
99.0,0.2
99.0,0.2
99.0,0.2
99.1,0.2
99.1,0.2
99.1,0.2
