Date,CPU Utilization,CPU Power
2024-10-24 13:32:34,0.25,2.84953
2024-10-24 13:32:35,0.24747,2.07076
2024-10-24 13:32:36,0.21212,1.59135
2024-10-24 13:32:37,0.20455,1.47363
2024-10-24 13:32:38,0.19388,1.40779
2024-10-24 13:32:39,0.245,2.22478
2024-10-24 13:32:40,0.25,2.27022
2024-10-24 13:32:41,0.24752,2.8887
2024-10-24 13:32:42,0.2475,2.30099
2024-10-24 13:32:43,0.25,2.17134
2024-10-24 13:32:44,0.23737,2.10643
2024-10-24 13:32:45,0.25,2.37601
2024-10-24 13:32:46,0.25253,2.95836
2024-10-24 13:32:47,0.25253,3.01338
2024-10-24 13:32:48,0.25,2.93176
2024-10-24 13:32:49,0.25253,2.73436
2024-10-24 13:32:50,0.25253,2.74699
2024-10-24 13:32:51,0.25253,2.78667
