Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-24 14:02:34,0.29040,3.42271,3.42271,0.00000
2024-10-24 14:02:35,0.27500,3.37062,3.37062,0.00000
2024-10-24 14:02:36,0.29000,3.42129,3.42129,0.00000
2024-10-24 14:02:37,0.27000,3.35469,3.35469,0.00000
2024-10-24 14:02:38,0.27250,3.36260,3.36260,0.00000
2024-10-24 14:02:39,0.28000,3.38702,3.38702,0.00000
2024-10-24 14:02:40,0.27525,3.37143,3.37143,0.00000
2024-10-24 14:02:41,0.27250,3.36260,3.36260,0.00000
2024-10-24 14:02:42,0.27250,3.36260,3.36260,0.00000
2024-10-24 14:02:43,0.27020,3.35533,3.35533,0.00000
2024-10-24 14:02:44,0.29500,3.43916,3.43916,0.00000
2024-10-24 14:02:45,0.29500,3.43916,3.43916,0.00000
2024-10-24 14:02:46,0.27273,3.36332,3.36332,0.00000
2024-10-24 14:02:47,0.27000,3.35469,3.35469,0.00000
2024-10-24 14:02:48,0.27500,3.37062,3.37062,0.00000
2024-10-24 14:02:49,0.27250,3.36260,3.36260,0.00000
2024-10-24 14:02:50,0.27020,3.35533,3.35533,0.00000
2024-10-24 14:02:51,0.27500,3.37062,3.37062,0.00000
2024-10-24 14:02:52,0.29750,3.44829,3.44829,0.00000
2024-10-24 14:02:53,0.26980,3.35407,3.35407,0.00000
2024-10-24 14:02:54,0.27273,3.36332,3.36332,0.00000
2024-10-24 14:02:55,0.27020,3.35533,3.35533,0.00000
2024-10-24 14:02:56,0.27750,3.37876,3.37876,0.00000
2024-10-24 14:02:57,0.28250,3.39540,3.39540,0.00000
2024-10-24 14:02:58,0.27000,3.35469,3.35469,0.00000
2024-10-24 14:02:59,0.27500,3.37062,3.37062,0.00000
2024-10-24 14:03:00,0.28750,3.41253,3.41253,0.00000
2024-10-24 14:03:01,0.28250,3.39540,3.39540,0.00000
2024-10-24 14:03:02,0.27020,3.35533,3.35533,0.00000
2024-10-24 14:03:03,0.29293,3.43170,3.43170,0.00000
2024-10-24 14:03:04,0.32828,3.57108,3.57108,0.00000
2024-10-24 14:03:05,0.29040,3.42271,3.42271,0.00000
2024-10-24 14:03:06,0.30303,3.46892,3.46892,0.00000
2024-10-24 14:03:07,0.31061,3.49820,3.49820,0.00000
2024-10-24 14:03:08,0.30000,3.45754,3.45754,0.00000
