__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_20_repetition_0,DONE,r6,no,loop5,51.793174,99.714,4.142,150.537
run_10_repetition_0,DONE,r3,no,loop7,36.117242,99.838,3.271,103.124
run_17_repetition_0,DONE,r5,no,loop6,26.737457,111.154,1.185,77.292
run_16_repetition_0,DONE,r5,no,loop5,51.64575,99.738,4.154,150.71
run_2_repetition_0,DONE,r1,no,loop7,36.337877,99.76,3.249,106.037
run_3_repetition_0,DONE,r1,no,loop8,21.771146,99.919,8.21,60.733
run_22_repetition_0,DONE,r6,no,loop7,36.739106,99.883,3.289,105.429
run_23_repetition_0,DONE,r6,no,loop8,21.07999,99.915,8.38,57.678
run_18_repetition_0,DONE,r5,no,loop7,36.522355,99.92,3.289,104.368
run_7_repetition_0,DONE,r2,no,loop8,20.720646,100.0,8.19,57.777
run_0_repetition_0,DONE,r1,no,loop5,51.753766,99.912,4.15,151.73
run_9_repetition_0,DONE,r3,no,loop6,26.991142,110.962,1.185,77.203
run_13_repetition_0,DONE,r4,no,loop6,26.399735,111.28,1.184,77.335
run_6_repetition_0,DONE,r2,no,loop7,36.630618,99.809,3.297,105.82
run_15_repetition_0,DONE,r4,no,loop8,21.078321,99.92,8.385,57.664
run_12_repetition_0,DONE,r4,no,loop5,55.602559,99.04,4.219,151.946
run_5_repetition_0,DONE,r2,no,loop6,27.412953,110.577,1.185,77.174
run_21_repetition_0,DONE,r6,no,loop6,27.380232,110.346,1.185,76.673
run_8_repetition_0,DONE,r3,no,loop5,52.233612,99.814,4.146,154.428
run_14_repetition_0,DONE,r4,no,loop7,36.602746,99.911,3.297,105.225
run_11_repetition_0,DONE,r3,no,loop8,21.195529,99.995,8.46,60.738
run_19_repetition_0,DONE,r5,no,loop8,20.854872,100.145,8.295,57.551
run_4_repetition_0,DONE,r2,no,loop5,52.282892,99.904,4.156,155.681
run_1_repetition_0,DONE,r1,no,loop6,26.390734,111.32,1.184,76.92
