Date,CPU Utilization,CPU Power
2024-10-24 15:26:27,0.2551,2.91679
2024-10-24 15:26:28,0.25,3.0642
2024-10-24 15:26:29,0.25,3.0642
2024-10-24 15:26:30,0.25,3.02413
2024-10-24 15:26:31,0.25253,2.99461
2024-10-24 15:26:32,0.2475,2.91989
2024-10-24 15:26:33,0.25,3.08495
2024-10-24 15:26:34,0.25,3.12795
2024-10-24 15:26:35,0.25,3.1062
2024-10-24 15:26:36,0.25,3.1062
2024-10-24 15:26:37,0.25253,3.13582
2024-10-24 15:26:38,0.25,3.08495
2024-10-24 15:26:39,0.25,3.1062
2024-10-24 15:26:40,0.25,3.1062
2024-10-24 15:26:41,0.25,3.1062
