Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-24 15:26:47,0.29000,3.42129,3.42129,0.00000
2024-10-24 15:26:48,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:26:49,0.27750,3.37876,3.37876,0.00000
2024-10-24 15:26:50,0.29545,3.44081,3.44081,0.00000
2024-10-24 15:26:51,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:26:52,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:26:53,0.27273,3.36332,3.36332,0.00000
2024-10-24 15:26:54,0.28750,3.41253,3.41253,0.00000
2024-10-24 15:26:55,0.27525,3.37143,3.37143,0.00000
2024-10-24 15:26:56,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:26:57,0.28250,3.39540,3.39540,0.00000
2024-10-24 15:26:58,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:26:59,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:00,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:27:01,0.28788,3.41385,3.41385,0.00000
2024-10-24 15:27:02,0.29750,3.44829,3.44829,0.00000
2024-10-24 15:27:03,0.35250,3.68116,3.68116,0.00000
2024-10-24 15:27:04,0.27525,3.37143,3.37143,0.00000
2024-10-24 15:27:05,0.27228,3.36189,3.36189,0.00000
2024-10-24 15:27:06,0.29040,3.42271,3.42271,0.00000
2024-10-24 15:27:07,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:27:08,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:09,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:10,0.28500,3.40391,3.40391,0.00000
2024-10-24 15:27:11,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:12,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:13,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:27:14,0.27551,3.37227,3.37227,0.00000
2024-10-24 15:27:15,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:16,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:27:17,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:27:18,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:27:19,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:27:20,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:27:21,0.31313,3.50822,3.50822,0.00000
