Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-10-24 15:42:04,0.28500,3.40391,3.40391,0.00000
2024-10-24 15:42:05,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:06,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:07,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:42:08,0.27020,3.35533,3.35533,0.00000
2024-10-24 15:42:09,0.29000,3.42129,3.42129,0.00000
2024-10-24 15:42:10,0.27273,3.36332,3.36332,0.00000
2024-10-24 15:42:11,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:12,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:13,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:14,0.27551,3.37227,3.37227,0.00000
2024-10-24 15:42:15,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:16,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:17,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:18,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:19,0.27020,3.35533,3.35533,0.00000
2024-10-24 15:42:20,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:21,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:22,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:23,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:24,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:25,0.27020,3.35533,3.35533,0.00000
2024-10-24 15:42:26,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:27,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:28,0.27250,3.36260,3.36260,0.00000
2024-10-24 15:42:29,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:42:30,0.27525,3.37143,3.37143,0.00000
2024-10-24 15:42:31,0.27000,3.35469,3.35469,0.00000
2024-10-24 15:42:32,0.27500,3.37062,3.37062,0.00000
2024-10-24 15:42:33,0.26750,3.34691,3.34691,0.00000
