Date,CPU Utilization,CPU Power
2024-10-24 15:59:54,0.25,3.08495
2024-10-24 15:59:55,0.25,3.0642
2024-10-24 15:59:56,0.25,2.98588
2024-10-24 15:59:57,0.25,3.12795
2024-10-24 15:59:58,0.2525,3.1158
2024-10-24 15:59:59,0.25,3.0642
2024-10-24 16:00:00,0.25,2.94938
2024-10-24 16:00:01,0.25,3.1062
2024-10-24 16:00:02,0.25,3.1062
2024-10-24 16:00:03,0.25253,3.11419
2024-10-24 16:00:04,0.25253,2.97627
2024-10-24 16:00:05,0.24752,3.05626
2024-10-24 16:00:06,0.25,3.0642
2024-10-24 16:00:07,0.25253,3.05228
2024-10-24 16:00:08,0.25,3.04393
2024-10-24 16:00:09,0.2475,3.0541
2024-10-24 16:00:10,0.25,3.08495
2024-10-24 16:00:11,0.25,3.08495
2024-10-24 16:00:12,0.25,3.1062
2024-10-24 16:00:13,0.2525,3.07437
2024-10-24 16:00:14,0.25,3.04393
2024-10-24 16:00:15,0.25,3.1062
2024-10-24 16:00:16,0.25,3.1062
2024-10-24 16:00:17,0.25,3.08495
2024-10-24 16:00:18,0.25,3.1062
2024-10-24 16:00:19,0.25,2.96742
2024-10-24 16:00:20,0.25253,3.09306
2024-10-24 16:00:21,0.24752,3.07713
2024-10-24 16:00:22,0.25253,3.11419
