Date,CPU Utilization,CPU Power
2024-11-26 06:02:03,0.25063,3.24659
2024-11-26 06:02:04,0.24874,3.14504
2024-11-26 06:02:05,0.25063,3.17491
2024-11-26 06:02:06,0.25063,3.19824
2024-11-26 06:02:07,0.25063,3.19824
2024-11-26 06:02:08,0.25313,3.23022
2024-11-26 06:02:09,0.24750,3.11872
2024-11-26 06:02:10,0.25377,3.23211
2024-11-26 06:02:11,0.24874,3.19173
2024-11-26 06:02:12,0.24812,3.09859
2024-11-26 06:02:13,0.25187,3.17981
2024-11-26 06:02:14,0.24812,3.16625
2024-11-26 06:02:15,0.25063,3.15213
2024-11-26 06:02:16,0.25000,3.17303
2024-11-26 06:02:17,0.25250,3.20476
2024-11-26 06:02:18,0.25189,2.71923
2024-11-26 06:02:19,0.25000,3.06420
2024-11-26 06:02:20,0.25316,3.18262
2024-11-26 06:02:21,0.24938,3.14833
2024-11-26 06:02:22,0.25063,3.19824
2024-11-26 06:02:23,0.25250,3.18172
2024-11-26 06:02:24,0.24750,3.14130
2024-11-26 06:02:25,0.25313,3.23022
2024-11-26 06:02:26,0.24938,3.14833
2024-11-26 06:02:27,0.25000,3.00478
2024-11-26 06:02:28,0.25063,3.10817
2024-11-26 06:02:29,0.25000,2.88128
2024-11-26 06:02:30,0.25063,3.04599
2024-11-26 06:02:31,0.24938,3.10425
