cpu_usage,memory_usage
102.0,0.3
100.0,0.5
99.6,0.6
100.0,0.8
100.0,1.0
100.0,1.1
99.8,1.2
100.0,1.4
100.0,1.6
100.0,1.8
100.0,1.9
100.0,2.1
100.0,2.3
100.0,2.4
100.0,2.6
100.0,2.8
100.0,2.9
100.0,3.0
100.0,3.2
99.9,3.4
100.0,3.6
100.0,3.6
100.0,3.8
100.0,4.0
100.0,4.2
100.0,4.4
100.0,4.4
100.0,4.6
100.0,4.8
99.9,5.0
100.0,5.2
100.0,5.4
100.0,5.5
100.0,5.5
100.0,5.8
100.0,6.0
100.0,6.2
99.9,6.5
99.9,6.7
100.0,6.9
99.9,7.1
99.9,7.4
100.0,7.5
100.0,7.5
100.0,7.5
100.0,7.5
100.0,7.5
100.0,7.5
99.9,6.4
