Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 06:44:05,0.27569,3.37285,3.37285,0.00000
2024-11-26 06:44:06,0.27250,3.36260,3.36260,0.00000
2024-11-26 06:44:07,0.26884,3.35108,3.35108,0.00000
2024-11-26 06:44:08,0.26566,3.34126,3.34126,0.00000
2024-11-26 06:44:09,0.27068,3.35682,3.35682,0.00000
2024-11-26 06:44:10,0.27250,3.36260,3.36260,0.00000
2024-11-26 06:44:11,0.26750,3.34691,3.34691,0.00000
2024-11-26 06:44:12,0.29825,3.45103,3.45103,0.00000
2024-11-26 06:44:13,0.26933,3.35258,3.35258,0.00000
2024-11-26 06:44:14,0.26835,3.34956,3.34956,0.00000
2024-11-26 06:44:15,0.27750,3.37876,3.37876,0.00000
2024-11-26 06:44:16,0.26750,3.34691,3.34691,0.00000
2024-11-26 06:44:17,0.27569,3.37285,3.37285,0.00000
2024-11-26 06:44:18,0.26566,3.34126,3.34126,0.00000
2024-11-26 06:44:19,0.26500,3.33924,3.33924,0.00000
2024-11-26 06:44:20,0.29825,3.45103,3.45103,0.00000
2024-11-26 06:44:21,0.27068,3.35682,3.35682,0.00000
2024-11-26 06:44:22,0.26633,3.34331,3.34331,0.00000
2024-11-26 06:44:23,0.26683,3.34485,3.34485,0.00000
2024-11-26 06:44:24,0.26566,3.34126,3.34126,0.00000
2024-11-26 06:44:25,0.27136,3.35897,3.35897,0.00000
2024-11-26 06:44:26,0.26566,3.34126,3.34126,0.00000
2024-11-26 06:44:27,0.27000,3.35469,3.35469,0.00000
2024-11-26 06:44:28,0.26817,3.34898,3.34898,0.00000
2024-11-26 06:44:29,0.30075,3.46035,3.46035,0.00000
2024-11-26 06:44:30,0.28070,3.38936,3.38936,0.00000
2024-11-26 06:44:31,0.29073,3.42385,3.42385,0.00000
2024-11-26 06:44:32,0.30326,3.46979,3.46979,0.00000
2024-11-26 06:44:33,0.27250,3.36260,3.36260,0.00000
2024-11-26 06:44:34,0.27136,3.35897,3.35897,0.00000
