__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_191_repetition_0,DONE,r20,no,loop2,31.037649,99.843,2.963,87.763
run_153_repetition_0,DONE,r16,no,loop4,25.974847,110.92,1.184,74.595
run_9_repetition_0,DONE,r1,no,loop10,24.445033,111.174,0.3,71.794
run_140_repetition_0,DONE,r15,no,loop1,31.435179,99.797,3.223,91.228
run_155_repetition_0,DONE,r16,no,loop6,20.538737,99.889,8.468,58.227
run_5_repetition_0,DONE,r1,no,loop6,20.838782,99.91,8.235,58.051
run_71_repetition_0,DONE,r8,no,loop2,30.997358,99.877,3.007,88.593
run_23_repetition_0,DONE,r3,no,loop4,27.037276,110.654,1.185,76.6
run_31_repetition_0,DONE,r4,no,loop2,31.112408,99.97,3.093,91.512
run_44_repetition_0,DONE,r5,no,loop5,35.82375,99.997,3.276,106.213
run_24_repetition_0,DONE,r3,no,loop5,35.927237,99.929,3.274,107.317
run_38_repetition_0,DONE,r4,no,loop9,16.563715,116.125,1.825,47.773
run_148_repetition_0,DONE,r15,no,loop9,16.888771,116.25,1.763,47.795
run_113_repetition_0,DONE,r12,no,loop4,26.246187,111.6,1.184,79.384
run_168_repetition_0,DONE,r17,no,loop9,17.106064,115.812,1.819,50.822
run_61_repetition_0,DONE,r7,no,loop2,30.807365,99.993,3.048,91.522
run_10_repetition_0,DONE,r2,no,loop1,31.230775,99.917,3.247,93.962
run_72_repetition_0,DONE,r8,no,loop3,51.1133,99.947,4.167,154.356
run_47_repetition_0,DONE,r5,no,loop8,26.351822,111.52,1.9,79.42
run_17_repetition_0,DONE,r2,no,loop8,25.798016,111.6,1.9,76.404
run_142_repetition_0,DONE,r15,no,loop3,50.987522,99.894,4.182,154.907
run_156_repetition_0,DONE,r16,no,loop7,24.040638,99.926,2.313,68.89
run_163_repetition_0,DONE,r17,no,loop4,26.319291,111.68,1.184,79.593
run_150_repetition_0,DONE,r16,no,loop1,31.319506,99.94,3.233,94.306
run_84_repetition_0,DONE,r9,no,loop5,36.585527,99.983,3.289,109.513
run_27_repetition_0,DONE,r3,no,loop8,26.97953,111.192,1.9,78.841
run_13_repetition_0,DONE,r2,no,loop4,26.167223,111.56,1.184,79.46
run_183_repetition_0,DONE,r19,no,loop4,26.702607,111.231,1.185,79.734
run_141_repetition_0,DONE,r15,no,loop2,30.724971,99.99,3.052,91.421
run_130_repetition_0,DONE,r14,no,loop1,30.947708,99.917,3.17,91.875
run_190_repetition_0,DONE,r20,no,loop1,31.090506,99.98,3.253,91.262
run_160_repetition_0,DONE,r17,no,loop1,30.896662,99.847,3.12,91.436
