cpu_usage,memory_usage
100.0,0.8
100.0,1.6
100.0,2.4
99.7,3.2
100.0,4.0
100.0,4.9
99.8,5.7
100.0,6.6
99.8,7.6
99.9,8.5
99.9,9.5
99.9,10.4
100.0,11.4
100.0,12.3
99.9,13.3
99.9,14.2
99.9,15.2
99.9,15.3
99.9,15.3
99.9,15.4
99.9,15.4
99.9,15.4
99.9,15.5
99.9,15.5
99.9,15.5
99.9,15.6
99.9,15.6
99.9,15.6
99.9,15.7
99.9,15.7
99.9,15.8
99.9,15.8
99.9,15.8
99.9,15.9
99.9,15.9
99.9,15.9
99.9,16.0
99.9,16.0
99.9,16.0
99.9,16.1
99.9,16.1
99.9,16.2
99.9,16.2
99.9,16.2
99.9,16.3
99.9,16.3
99.9,16.3
99.9,16.4
99.9,16.4
99.9,16.4
99.9,16.5
99.9,16.5
99.9,16.5
99.9,16.6
99.9,16.6
99.9,16.7
99.9,16.7
99.9,16.7
99.9,16.8
99.9,16.8
99.9,16.8
99.9,16.9
99.9,16.9
99.9,16.9
99.9,17.0
99.9,17.0
99.9,17.0
99.9,17.1
99.9,17.1
99.9,17.1
99.9,17.2
99.9,17.2
99.9,17.3
99.9,17.3
99.9,17.3
99.9,17.4
99.9,17.4
99.9,17.4
99.9,17.5
99.9,17.5
99.9,17.5
99.9,17.6
99.9,17.6
99.9,17.6
99.9,17.7
99.9,17.7
99.9,17.7
99.9,13.2
99.9,3.9
