Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-11-26 18:08:13,0.25500,3.30968,3.30968,0.00000
2024-11-26 18:08:14,0.25879,3.32069,3.32069,0.00000
2024-11-26 18:08:15,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:08:16,0.26119,3.32778,3.32778,0.00000
2024-11-26 18:08:17,0.26131,3.32811,3.32811,0.00000
2024-11-26 18:08:18,0.25879,3.32069,3.32069,0.00000
2024-11-26 18:08:19,0.28000,3.38702,3.38702,0.00000
2024-11-26 18:08:20,0.25879,3.32069,3.32069,0.00000
2024-11-26 18:08:21,0.26750,3.34691,3.34691,0.00000
2024-11-26 18:08:22,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:08:23,0.25750,3.31691,3.31691,0.00000
2024-11-26 18:08:24,0.25879,3.32069,3.32069,0.00000
2024-11-26 18:08:25,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:08:26,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:08:27,0.26500,3.33924,3.33924,0.00000
2024-11-26 18:08:28,0.25879,3.32069,3.32069,0.00000
2024-11-26 18:08:29,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:08:30,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:08:31,0.26250,3.33168,3.33168,0.00000
2024-11-26 18:08:32,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:08:33,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:08:34,0.27778,3.37967,3.37967,0.00000
2024-11-26 18:08:35,0.26000,3.32424,3.32424,0.00000
2024-11-26 18:08:36,0.26250,3.33168,3.33168,0.00000
