Date,CPU Utilization,CPU Power
2024-11-26 15:09:30,0.2475,3.18809
2024-11-26 15:09:31,0.2525,3.22835
2024-11-26 15:09:32,0.25,3.17303
2024-11-26 15:09:33,0.25,3.15022
2024-11-26 15:09:34,0.25126,3.20011
2024-11-26 15:09:35,0.25126,3.20011
2024-11-26 15:09:36,0.25377,3.14126
2024-11-26 15:09:37,0.2475,3.16442
2024-11-26 15:09:38,0.25,3.12795
2024-11-26 15:09:39,0.25,3.17303
2024-11-26 15:09:40,0.25126,3.15406
2024-11-26 15:09:41,0.24874,3.16811
2024-11-26 15:09:42,0.25,3.19638
2024-11-26 15:09:43,0.25,3.15022
2024-11-26 15:09:44,0.25,3.17303
2024-11-26 15:09:45,0.24876,3.16931
2024-11-26 15:09:46,0.24876,3.14645
2024-11-26 15:09:47,0.25,3.1062
2024-11-26 15:09:48,0.2475,3.16442
2024-11-26 15:09:49,0.2525,3.01574
2024-11-26 15:09:50,0.25126,3.17681
2024-11-26 15:09:51,0.25,3.12795
2024-11-26 15:09:52,0.25126,3.06828
2024-11-26 15:09:53,0.25,3.10446
