__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_476_repetition_0,DONE,r16,yes,loop9_opt_unrolling,17.42738,115.375,1.744,49.282
run_583_repetition_0,DONE,r20,yes,loop5_opt_cacheblocking,35.745836,99.9,3.274,106.863
run_521_repetition_0,DONE,r18,yes,loop4_opt_unrolling,20.141692,114.158,1.184,60.225
run_68_repetition_0,DONE,r3,yes,loop3_opt_unrolling,51.449866,99.918,4.186,157.928
run_234_repetition_0,DONE,r8,yes,loop9_opt_batching,16.967997,116.312,1.763,47.777
run_23_repetition_0,DONE,r1,yes,loop8_opt_unrolling,21.268085,113.75,1.9,63.713
run_307_repetition_0,DONE,r11,yes,loop3_opt_cacheblocking,52.432388,99.946,4.298,161.137
run_340_repetition_0,DONE,r12,yes,loop4_opt_cacheblocking,19.066492,114.889,1.183,54.196
run_15_repetition_0,DONE,r1,yes,loop6_opt_batching,59.488915,99.889,14.628,182.748
run_279_repetition_0,DONE,r10,yes,loop4_opt_batching,20.132636,114.316,1.184,60.682
run_409_repetition_0,DONE,r14,yes,loop7_opt_cacheblocking,25.2635,99.913,2.354,75.693
run_502_repetition_0,DONE,r17,yes,loop8_opt_cacheblocking,26.272936,111.32,1.9,79.422
run_482_repetition_0,DONE,r17,yes,loop1_opt_unrolling,31.523297,99.93,3.213,94.156
run_273_repetition_0,DONE,r10,yes,loop2_opt_batching,26.760094,99.804,2.7,78.724
run_185_repetition_0,DONE,r7,yes,loop2_opt_unrolling,26.616249,99.924,2.724,79.05
run_467_repetition_0,DONE,r16,yes,loop6_opt_unrolling,92.193712,100.006,14.802,289.253
run_124_repetition_0,DONE,r5,yes,loop2_opt_cacheblocking,27.438147,99.985,2.712,81.774
run_250_repetition_0,DONE,r9,yes,loop4_opt_cacheblocking,18.590246,113.667,1.183,54.254
run_49_repetition_0,DONE,r2,yes,loop7_opt_cacheblocking,25.198185,99.979,2.363,75.305
run_373_repetition_0,DONE,r13,yes,loop5_opt_cacheblocking,35.922237,99.862,3.262,107.046
run_590_repetition_0,DONE,r20,yes,loop7_opt_unrolling,25.492521,99.842,2.333,75.6
run_16_repetition_0,DONE,r1,yes,loop6_opt_cacheblocking,27.747251,99.873,10.227,81.102
run_594_repetition_0,DONE,r20,yes,loop9_opt_batching,16.723343,116.312,1.756,47.502
run_35_repetition_0,DONE,r2,yes,loop2_opt_unrolling,26.452319,99.948,2.736,78.773
run_528_repetition_0,DONE,r18,yes,loop7_opt_batching,25.200612,99.925,2.363,75.502
run_472_repetition_0,DONE,r16,yes,loop8_opt_cacheblocking,25.689687,111.44,1.9,76.42
run_348_repetition_0,DONE,r12,yes,loop7_opt_batching,25.132443,99.846,2.363,75.742
run_557_repetition_0,DONE,r19,yes,loop6_opt_unrolling,90.746673,99.926,14.747,282.511
run_537_repetition_0,DONE,r18,yes,loop10_opt_batching,24.313966,111.957,0.3,73.315
run_454_repetition_0,DONE,r16,yes,loop2_opt_cacheblocking,27.464384,99.942,2.715,81.829
run_80_repetition_0,DONE,r3,yes,loop7_opt_unrolling,25.261525,99.808,2.342,75.65
run_70_repetition_0,DONE,r3,yes,loop4_opt_cacheblocking,19.026276,114.722,1.183,54.193
run_387_repetition_0,DONE,r13,yes,loop10_opt_batching,25.084097,111.75,0.3,73.354
run_426_repetition_0,DONE,r15,yes,loop3_opt_batching,45.432788,99.83,3.705,139.155
run_553_repetition_0,DONE,r19,yes,loop5_opt_cacheblocking,36.944788,99.997,3.251,110.41
run_519_repetition_0,DONE,r18,yes,loop4_opt_batching,20.102097,113.474,1.184,53.812
run_148_repetition_0,DONE,r5,yes,loop10_opt_cacheblocking,24.619495,111.708,0.288,72.958
run_419_repetition_0,DONE,r14,yes,loop10_opt_unrolling,24.514898,111.957,0.3,73.005
run_429_repetition_0,DONE,r15,yes,loop4_opt_batching,19.913694,114.316,1.184,57.304
run_193_repetition_0,DONE,r7,yes,loop5_opt_cacheblocking,36.120932,99.92,3.154,107.294
