__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_20_repetition_0,DONE,r3,no,loop_cache_blocking,17.810449,99.624,0.2,7.993
run_72_repetition_0,DONE,r10,yes,loop_cache_blocking,17.245383,99.769,0.2,7.988
run_49_repetition_0,TODO,r7,yes,loop_no_cache_blocking, , , , 
run_39_repetition_0,DONE,r5,no,loop_no_collapsing,4.861149,99.575,0.2,1.503
run_5_repetition_0,TODO,r1,no,loop_no_cache_blocking, , , , 
run_58_repetition_0,DONE,r8,yes,loop_collapsing,6.052571,99.76,0.2,2.503
run_76_repetition_0,DONE,r10,no,loop_cache_blocking,21.796911,99.752,0.2,10.013
run_9_repetition_0,TODO,r2,yes,loop_no_cache_blocking, , , , 
run_33_repetition_0,TODO,r5,yes,loop_no_cache_blocking, , , , 
run_32_repetition_0,DONE,r5,yes,loop_cache_blocking,23.632372,99.687,0.2,11.0
run_59_repetition_0,DONE,r8,yes,loop_no_collapsing,5.817893,99.88,0.2,2.003
run_12_repetition_0,DONE,r2,no,loop_cache_blocking,20.849142,99.615,0.2,9.546
run_79_repetition_0,DONE,r10,no,loop_no_collapsing,4.610201,99.7,0.2,1.503
run_65_repetition_0,TODO,r9,yes,loop_no_cache_blocking, , , , 
run_53_repetition_0,TODO,r7,no,loop_no_cache_blocking, , , , 
run_69_repetition_0,TODO,r9,no,loop_no_cache_blocking, , , , 
run_47_repetition_0,DONE,r6,no,loop_no_collapsing,4.52623,99.65,0.2,1.505
run_40_repetition_0,DONE,r6,yes,loop_cache_blocking,19.428229,99.542,0.2,9.0
run_7_repetition_0,DONE,r1,no,loop_no_collapsing,4.527069,99.675,0.2,1.5
run_37_repetition_0,TODO,r5,no,loop_no_cache_blocking, , , , 
run_35_repetition_0,DONE,r5,yes,loop_no_collapsing,4.385485,99.625,0.2,1.505
run_13_repetition_0,TODO,r2,no,loop_no_cache_blocking, , , , 
run_56_repetition_0,DONE,r8,yes,loop_cache_blocking,25.080417,99.721,0.2,12.035
run_0_repetition_0,DONE,r1,yes,loop_cache_blocking,18.998756,99.678,0.2,8.518
run_41_repetition_0,TODO,r6,yes,loop_no_cache_blocking, , , , 
run_48_repetition_0,DONE,r7,yes,loop_cache_blocking,19.152839,99.656,0.2,9.025
run_77_repetition_0,TODO,r10,no,loop_no_cache_blocking, , , , 
run_21_repetition_0,TODO,r3,no,loop_no_cache_blocking, , , , 
run_27_repetition_0,DONE,r4,yes,loop_no_collapsing,4.104037,99.25,0.2,1.5
run_61_repetition_0,TODO,r8,no,loop_no_cache_blocking, , , , 
run_68_repetition_0,DONE,r9,no,loop_cache_blocking,19.311178,99.5,0.2,8.988
run_74_repetition_0,DONE,r10,yes,loop_collapsing,5.125325,99.58,0.2,1.993
run_18_repetition_0,DONE,r3,yes,loop_collapsing,4.845106,99.675,0.2,1.503
run_29_repetition_0,TODO,r4,no,loop_no_cache_blocking, , , , 
run_30_repetition_0,DONE,r4,no,loop_collapsing,5.190549,99.86,0.2,1.995
run_44_repetition_0,DONE,r6,no,loop_cache_blocking,17.586928,99.847,0.2,8.015
run_36_repetition_0,DONE,r5,no,loop_cache_blocking,18.79419,99.944,0.2,8.5
run_71_repetition_0,DONE,r9,no,loop_no_collapsing,4.712274,99.575,0.2,1.493
run_55_repetition_0,DONE,r7,no,loop_no_collapsing,4.233225,99.425,0.2,1.5
run_8_repetition_0,DONE,r2,yes,loop_cache_blocking,19.496992,99.495,0.2,9.005
run_25_repetition_0,TODO,r4,yes,loop_no_cache_blocking, , , , 
run_73_repetition_0,TODO,r10,yes,loop_no_cache_blocking, , , , 
run_24_repetition_0,DONE,r4,yes,loop_cache_blocking,18.791382,99.622,0.2,8.508
run_66_repetition_0,DONE,r9,yes,loop_collapsing,5.341987,99.86,0.2,1.993
run_60_repetition_0,DONE,r8,no,loop_cache_blocking,19.867156,99.668,0.2,9.008
run_50_repetition_0,DONE,r7,yes,loop_collapsing,5.173198,99.38,0.2,1.995
run_14_repetition_0,DONE,r2,no,loop_collapsing,5.284239,99.38,0.2,1.995
run_67_repetition_0,DONE,r9,yes,loop_no_collapsing,4.617113,99.525,0.2,1.498
run_43_repetition_0,DONE,r6,yes,loop_no_collapsing,3.723401,99.167,0.2,0.997
run_1_repetition_0,TODO,r1,yes,loop_no_cache_blocking, , , , 
run_22_repetition_0,DONE,r3,no,loop_collapsing,5.662644,99.48,0.2,1.993
run_52_repetition_0,DONE,r7,no,loop_cache_blocking,19.771325,99.689,0.2,8.998
run_10_repetition_0,DONE,r2,yes,loop_collapsing,6.180405,99.0,0.2,2.463
run_26_repetition_0,DONE,r4,yes,loop_collapsing,5.411316,99.16,0.2,1.99
run_38_repetition_0,DONE,r5,no,loop_collapsing,5.641639,99.08,0.2,2.005
run_28_repetition_0,DONE,r4,no,loop_cache_blocking,19.997994,96.153,0.2,8.838
run_64_repetition_0,DONE,r9,yes,loop_cache_blocking,17.862106,99.7,0.2,8.01
run_16_repetition_0,DONE,r3,yes,loop_cache_blocking,16.650665,99.688,0.2,7.518
run_46_repetition_0,DONE,r6,no,loop_collapsing,5.655683,99.18,0.2,1.977
run_19_repetition_0,DONE,r3,yes,loop_no_collapsing,4.849726,97.125,0.2,1.434
run_54_repetition_0,DONE,r7,no,loop_collapsing,6.721796,94.617,0.2,2.323
run_63_repetition_0,DONE,r8,no,loop_no_collapsing,5.119118,93.525,0.2,1.925
run_2_repetition_0,DONE,r1,yes,loop_collapsing,6.481434,93.967,0.2,2.45
run_57_repetition_0,TODO,r8,yes,loop_no_cache_blocking, , , , 
run_34_repetition_0,DONE,r5,yes,loop_collapsing,5.840953,97.28,0.2,1.957
run_15_repetition_0,DONE,r2,no,loop_no_collapsing,4.518867,95.15,0.2,1.5
run_4_repetition_0,DONE,r1,no,loop_cache_blocking,18.868719,99.506,0.2,8.503
run_75_repetition_0,DONE,r10,yes,loop_no_collapsing,4.989664,99.825,0.2,1.5
run_23_repetition_0,DONE,r3,no,loop_no_collapsing,4.008973,99.367,0.2,0.995
run_11_repetition_0,DONE,r2,yes,loop_no_collapsing,3.786519,99.867,0.2,1.003
run_3_repetition_0,DONE,r1,yes,loop_no_collapsing,3.599283,99.367,0.2,1.003
run_42_repetition_0,DONE,r6,yes,loop_collapsing,5.048257,99.45,0.2,2.003
run_78_repetition_0,DONE,r10,no,loop_collapsing,4.577652,99.925,0.2,1.498
run_17_repetition_0,TODO,r3,yes,loop_no_cache_blocking, , , , 
run_6_repetition_0,DONE,r1,no,loop_collapsing,4.730963,98.95,0.2,1.503
run_70_repetition_0,DONE,r9,no,loop_collapsing,4.686204,99.325,0.2,1.495
run_31_repetition_0,DONE,r4,no,loop_no_collapsing,3.734076,99.367,0.2,1.0
run_45_repetition_0,TODO,r6,no,loop_no_cache_blocking, , , , 
run_51_repetition_0,DONE,r7,yes,loop_no_collapsing,3.764763,99.267,0.2,1.0
run_62_repetition_0,DONE,r8,no,loop_collapsing,5.197663,98.0,0.2,1.997
