__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_6_repetition_0,DONE,r2,no,loop3,31.445831,99.9,3.07,90.828
run_11_repetition_0,DONE,r3,no,loop4,32.365967,99.513,3.403,76.841
run_15_repetition_0,DONE,r4,no,loop4,30.204662,99.917,3.483,82.132
run_5_repetition_0,DONE,r2,no,loop2,61.903374,99.745,0.2,171.548
run_22_repetition_0,DONE,r6,no,loop3,31.488073,99.987,3.07,90.479
run_23_repetition_0,DONE,r6,no,loop4,28.807124,99.785,3.452,82.106
run_21_repetition_0,DONE,r6,no,loop2,58.118253,99.936,0.2,172.259
run_17_repetition_0,DONE,r5,no,loop2,60.013939,99.79,0.2,172.521
run_10_repetition_0,DONE,r3,no,loop3,31.400814,99.867,3.083,90.03
run_19_repetition_0,DONE,r5,no,loop4,28.999452,99.946,3.407,81.526
run_20_repetition_0,DONE,r6,no,loop1,31.816841,99.96,3.203,91.021
run_13_repetition_0,DONE,r4,no,loop2,58.253243,99.964,0.2,175.163
run_3_repetition_0,DONE,r1,no,loop4,28.930628,100.014,3.35,81.958
run_9_repetition_0,DONE,r3,no,loop2,57.885418,99.92,0.2,171.023
run_12_repetition_0,DONE,r4,no,loop1,31.648177,99.813,3.217,90.97
run_7_repetition_0,DONE,r2,no,loop4,29.114454,99.961,3.482,82.014
run_18_repetition_0,DONE,r5,no,loop3,31.455721,99.903,3.07,90.621
run_8_repetition_0,DONE,r3,no,loop1,31.895246,99.887,3.197,89.953
run_16_repetition_0,DONE,r5,no,loop1,31.649051,99.87,3.21,90.399
run_2_repetition_0,DONE,r1,no,loop3,31.818174,99.897,3.03,91.376
run_0_repetition_0,DONE,r1,no,loop1,31.773762,99.933,3.203,91.169
run_1_repetition_0,DONE,r1,no,loop2,57.932695,99.984,0.2,172.261
run_4_repetition_0,DONE,r2,no,loop1,31.709352,99.963,3.213,90.729
run_14_repetition_0,DONE,r4,no,loop3,31.452773,99.927,3.073,90.259
