__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_18_repetition_0,DONE,r10,yes,for_loop,5.025895,60.325,0.2,1.205
run_126_repetition_0,DONE,r64,yes,for_loop,5.048122,59.0,0.2,1.197
run_27_repetition_0,DONE,r14,no,for_loop,10.044362,58.889,0.2,2.618
run_48_repetition_0,DONE,r25,yes,for_loop,5.03852,59.5,0.2,1.17
run_120_repetition_0,DONE,r61,yes,for_loop,5.052612,59.7,0.2,1.196
run_167_repetition_0,DONE,r84,no,for_loop,10.042298,59.267,0.2,2.683
run_139_repetition_0,DONE,r70,no,for_loop,10.045204,60.267,0.2,2.708
run_47_repetition_0,DONE,r24,no,for_loop,10.045832,59.356,0.2,2.681
run_107_repetition_0,DONE,r54,no,for_loop,10.03639,58.556,0.2,2.665
run_22_repetition_0,DONE,r12,yes,for_loop,5.029228,61.15,0.2,1.23
run_30_repetition_0,DONE,r16,yes,for_loop,5.031221,61.475,0.2,1.203
run_65_repetition_0,DONE,r33,no,for_loop,10.034384,60.2,0.2,2.72
run_179_repetition_0,DONE,r90,no,for_loop,10.04362,63.422,0.2,2.863
run_172_repetition_0,DONE,r87,yes,for_loop,5.030696,57.925,0.2,1.145
run_140_repetition_0,DONE,r71,yes,for_loop,5.042979,60.125,0.2,1.209
run_23_repetition_0,DONE,r12,no,for_loop,10.036999,59.922,0.2,2.702
run_15_repetition_0,DONE,r8,no,for_loop,10.04228,60.889,0.2,2.745
run_193_repetition_0,DONE,r97,no,for_loop,10.051338,60.422,0.2,2.728
run_85_repetition_0,DONE,r43,no,for_loop,10.03551,61.322,0.2,2.753
run_158_repetition_0,DONE,r80,yes,for_loop,5.03389,58.4,0.2,1.195
run_25_repetition_0,DONE,r13,no,for_loop,10.045784,60.522,0.2,2.73
run_146_repetition_0,DONE,r74,yes,for_loop,5.030214,58.925,0.2,1.209
run_142_repetition_0,DONE,r72,yes,for_loop,5.045291,59.5,0.2,1.185
run_6_repetition_0,DONE,r4,yes,for_loop,5.03695,60.15,0.2,1.218
run_28_repetition_0,DONE,r15,yes,for_loop,5.052601,59.85,0.2,1.195
run_43_repetition_0,DONE,r22,no,for_loop,10.033985,60.089,0.2,2.671
run_8_repetition_0,DONE,r5,yes,for_loop,5.040411,59.5,0.2,1.188
run_186_repetition_0,DONE,r94,yes,for_loop,5.036994,58.925,0.2,1.188
run_34_repetition_0,DONE,r18,yes,for_loop,5.051173,58.925,0.2,1.176
run_185_repetition_0,DONE,r93,no,for_loop,10.038319,58.811,0.2,2.678
run_147_repetition_0,DONE,r74,no,for_loop,10.040352,59.111,0.2,2.655
run_152_repetition_0,DONE,r77,yes,for_loop,5.04338,58.325,0.2,1.177
run_68_repetition_0,DONE,r35,yes,for_loop,5.037617,59.875,0.2,1.197
run_10_repetition_0,DONE,r6,yes,for_loop,5.029443,58.7,0.2,1.185
run_57_repetition_0,DONE,r29,no,for_loop,10.048852,59.222,0.2,2.661
run_82_repetition_0,DONE,r42,yes,for_loop,5.024038,58.1,0.2,0.874
run_137_repetition_0,DONE,r69,no,for_loop,10.042061,58.322,0.2,2.637
run_3_repetition_0,DONE,r2,no,for_loop,10.031879,59.744,0.2,2.691
run_11_repetition_0,DONE,r6,no,for_loop,10.051685,58.578,0.2,2.653
run_197_repetition_0,DONE,r99,no,for_loop,10.039772,58.522,0.2,2.649
run_66_repetition_0,DONE,r34,yes,for_loop,5.051839,59.35,0.2,1.176
run_143_repetition_0,DONE,r72,no,for_loop,10.045264,60.878,0.2,2.755
run_148_repetition_0,DONE,r75,yes,for_loop,5.041655,59.6,0.2,1.183
run_51_repetition_0,DONE,r26,no,for_loop,10.027467,58.644,0.2,2.663
run_63_repetition_0,DONE,r32,no,for_loop,10.040464,58.078,0.2,2.624
run_12_repetition_0,DONE,r7,yes,for_loop,5.026783,59.075,0.2,1.181
run_115_repetition_0,DONE,r58,no,for_loop,10.033998,58.956,0.2,2.645
run_151_repetition_0,DONE,r76,no,for_loop,10.032908,61.244,0.2,2.743
run_53_repetition_0,DONE,r27,no,for_loop,10.044937,58.989,0.2,2.696
run_190_repetition_0,DONE,r96,yes,for_loop,5.04533,61.025,0.2,1.213
run_86_repetition_0,DONE,r44,yes,for_loop,5.042981,60.525,0.2,1.208
run_181_repetition_0,DONE,r91,no,for_loop,10.031245,60.044,0.2,2.737
run_103_repetition_0,DONE,r52,no,for_loop,10.04927,60.789,0.2,2.756
run_109_repetition_0,DONE,r55,no,for_loop,10.050807,60.544,0.2,2.755
run_178_repetition_0,DONE,r90,yes,for_loop,5.034471,60.575,0.2,1.188
run_45_repetition_0,DONE,r23,no,for_loop,10.047244,60.633,0.2,2.745
run_58_repetition_0,DONE,r30,yes,for_loop,5.032194,61.0,0.2,1.215
run_31_repetition_0,DONE,r16,no,for_loop,10.048584,60.656,0.2,2.761
run_157_repetition_0,DONE,r79,no,for_loop,10.056699,61.989,0.2,2.762
run_131_repetition_0,DONE,r66,no,for_loop,10.049845,58.911,0.2,2.68
run_88_repetition_0,DONE,r45,yes,for_loop,5.036929,59.2,0.2,1.181
run_76_repetition_0,DONE,r39,yes,for_loop,5.047851,58.575,0.2,1.188
run_71_repetition_0,DONE,r36,no,for_loop,10.023931,60.467,0.2,2.735
run_79_repetition_0,DONE,r40,no,for_loop,10.045872,60.644,0.2,2.763
run_97_repetition_0,DONE,r49,no,for_loop,10.032828,59.933,0.2,2.706
run_102_repetition_0,DONE,r52,yes,for_loop,5.041383,60.375,0.2,1.212
run_149_repetition_0,DONE,r75,no,for_loop,11.506645,60.322,0.2,2.648
run_89_repetition_0,DONE,r45,no,for_loop,10.044864,56.633,0.2,2.573
run_83_repetition_0,DONE,r42,no,for_loop,10.033196,59.356,0.2,2.674
run_94_repetition_0,DONE,r48,yes,for_loop,5.035288,60.375,0.2,1.186
run_4_repetition_0,DONE,r3,yes,for_loop,5.029414,58.85,0.2,0.887
run_36_repetition_0,DONE,r19,yes,for_loop,5.042206,58.75,0.2,1.193
run_77_repetition_0,DONE,r39,no,for_loop,10.040393,60.433,0.2,2.693
run_67_repetition_0,DONE,r34,no,for_loop,10.030737,58.3,0.2,2.683
run_155_repetition_0,DONE,r78,no,for_loop,10.030863,58.911,0.2,2.671
run_121_repetition_0,DONE,r61,no,for_loop,10.034799,59.144,0.2,2.672
run_42_repetition_0,DONE,r22,yes,for_loop,5.027772,58.7,0.2,1.178
run_192_repetition_0,DONE,r97,yes,for_loop,5.046197,60.3,0.2,1.192
run_141_repetition_0,DONE,r71,no,for_loop,10.040653,58.478,0.2,2.656
run_138_repetition_0,DONE,r70,yes,for_loop,5.046502,62.6,0.2,1.262
run_54_repetition_0,DONE,r28,yes,for_loop,5.051683,59.325,0.2,1.183
run_69_repetition_0,DONE,r35,no,for_loop,10.02465,58.656,0.2,2.604
run_41_repetition_0,DONE,r21,no,for_loop,10.03852,59.078,0.2,2.661
run_9_repetition_0,DONE,r5,no,for_loop,10.040853,59.011,0.2,2.639
run_59_repetition_0,DONE,r30,no,for_loop,10.033417,59.389,0.2,2.658
run_198_repetition_0,DONE,r100,yes,for_loop,5.042814,57.725,0.2,1.181
run_182_repetition_0,DONE,r92,yes,for_loop,5.046564,60.7,0.2,1.228
run_106_repetition_0,DONE,r54,yes,for_loop,5.037277,60.85,0.2,1.199
run_81_repetition_0,DONE,r41,no,for_loop,10.035227,61.178,0.2,2.771
run_7_repetition_0,DONE,r4,no,for_loop,10.052077,60.989,0.2,2.731
run_136_repetition_0,DONE,r69,yes,for_loop,5.03639,61.5,0.2,1.222
run_110_repetition_0,DONE,r56,yes,for_loop,5.047006,59.55,0.2,1.208
run_32_repetition_0,DONE,r17,yes,for_loop,5.029704,62.8,0.2,1.237
run_56_repetition_0,DONE,r29,yes,for_loop,5.037946,60.125,0.2,1.208
run_74_repetition_0,DONE,r38,yes,for_loop,5.055638,60.175,0.2,1.215
run_44_repetition_0,DONE,r23,yes,for_loop,5.034288,61.1,0.2,1.215
run_19_repetition_0,DONE,r10,no,for_loop,10.037765,60.544,0.2,2.725
run_165_repetition_0,DONE,r83,no,for_loop,10.062183,60.5,0.2,2.733
run_105_repetition_0,DONE,r53,no,for_loop,10.035534,61.156,0.2,2.762
run_50_repetition_0,DONE,r26,yes,for_loop,5.043642,60.15,0.2,1.215
run_33_repetition_0,DONE,r17,no,for_loop,10.058698,60.522,0.2,2.764
run_26_repetition_0,DONE,r14,yes,for_loop,5.028091,61.525,0.2,1.242
run_104_repetition_0,DONE,r53,yes,for_loop,5.03071,63.1,0.2,1.255
run_70_repetition_0,DONE,r36,yes,for_loop,5.050072,61.2,0.2,1.237
run_61_repetition_0,DONE,r31,no,for_loop,10.054179,61.667,0.2,2.781
run_29_repetition_0,DONE,r15,no,for_loop,10.054175,62.156,0.2,2.778
run_122_repetition_0,DONE,r62,yes,for_loop,5.045839,62.525,0.2,1.243
run_130_repetition_0,DONE,r66,yes,for_loop,5.037506,62.3,0.2,1.242
run_132_repetition_0,DONE,r67,yes,for_loop,5.034231,62.825,0.2,1.25
run_91_repetition_0,DONE,r46,no,for_loop,10.053683,59.756,0.2,2.693
run_72_repetition_0,DONE,r37,yes,for_loop,5.05305,60.475,0.2,1.217
run_37_repetition_0,DONE,r19,no,for_loop,10.047458,59.856,0.2,2.702
run_116_repetition_0,DONE,r59,yes,for_loop,5.050063,59.525,0.2,1.193
run_98_repetition_0,DONE,r50,yes,for_loop,5.033925,60.125,0.2,1.187
run_161_repetition_0,DONE,r81,no,for_loop,10.030771,59.489,0.2,2.403
run_111_repetition_0,DONE,r56,no,for_loop,10.035119,60.044,0.2,2.702
run_189_repetition_0,DONE,r95,no,for_loop,10.03467,59.0,0.2,2.667
run_135_repetition_0,DONE,r68,no,for_loop,10.044296,60.211,0.2,2.717
run_113_repetition_0,DONE,r57,no,for_loop,10.045906,61.011,0.2,2.756
run_123_repetition_0,DONE,r62,no,for_loop,10.037193,58.9,0.2,2.641
run_24_repetition_0,DONE,r13,yes,for_loop,5.028346,60.675,0.2,1.21
run_38_repetition_0,DONE,r20,yes,for_loop,5.040174,58.05,0.2,1.136
run_60_repetition_0,DONE,r31,yes,for_loop,5.034893,57.925,0.2,1.172
run_0_repetition_0,DONE,r1,yes,for_loop,5.050696,59.9,0.2,1.21
run_170_repetition_0,DONE,r86,yes,for_loop,5.026429,59.65,0.2,1.175
run_174_repetition_0,DONE,r88,yes,for_loop,5.041178,58.075,0.2,1.168
run_80_repetition_0,DONE,r41,yes,for_loop,5.039776,58.975,0.2,1.171
run_153_repetition_0,DONE,r77,no,for_loop,10.029596,57.833,0.2,2.628
run_175_repetition_0,DONE,r88,no,for_loop,10.020489,57.956,0.2,2.328
run_125_repetition_0,DONE,r63,no,for_loop,10.045234,59.256,0.2,2.678
run_176_repetition_0,DONE,r89,yes,for_loop,5.034202,58.9,0.2,1.189
run_92_repetition_0,DONE,r47,yes,for_loop,5.039023,58.075,0.2,1.183
run_62_repetition_0,DONE,r32,yes,for_loop,5.034833,61.1,0.2,1.23
run_196_repetition_0,DONE,r99,yes,for_loop,5.054989,58.7,0.2,1.194
run_55_repetition_0,DONE,r28,no,for_loop,10.034744,59.611,0.2,2.726
run_173_repetition_0,DONE,r87,no,for_loop,10.04026,60.533,0.2,2.745
run_40_repetition_0,DONE,r21,yes,for_loop,5.03254,59.625,0.2,1.213
run_78_repetition_0,DONE,r40,yes,for_loop,5.025877,61.25,0.2,1.237
run_17_repetition_0,DONE,r9,no,for_loop,10.045487,61.556,0.2,2.783
run_199_repetition_0,DONE,r100,no,for_loop,10.046407,60.9,0.2,2.692
run_14_repetition_0,DONE,r8,yes,for_loop,5.027955,59.625,0.2,1.21
run_150_repetition_0,DONE,r76,yes,for_loop,5.034595,60.825,0.2,1.19
run_180_repetition_0,DONE,r91,yes,for_loop,5.03099,60.025,0.2,1.213
run_93_repetition_0,DONE,r47,no,for_loop,10.039075,59.533,0.2,2.703
run_73_repetition_0,DONE,r37,no,for_loop,10.046364,61.044,0.2,2.738
run_144_repetition_0,DONE,r73,yes,for_loop,5.048916,60.175,0.2,1.203
run_159_repetition_0,DONE,r80,no,for_loop,10.040573,58.844,0.2,2.664
run_183_repetition_0,DONE,r92,no,for_loop,10.044446,60.789,0.2,2.746
run_84_repetition_0,DONE,r43,yes,for_loop,5.03758,60.175,0.2,1.166
run_145_repetition_0,DONE,r73,no,for_loop,10.034907,60.856,0.2,2.748
run_112_repetition_0,DONE,r57,yes,for_loop,5.039177,62.4,0.2,1.235
run_195_repetition_0,DONE,r98,no,for_loop,10.03604,59.178,0.2,2.698
run_114_repetition_0,DONE,r58,yes,for_loop,5.041938,58.825,0.2,1.172
run_134_repetition_0,DONE,r68,yes,for_loop,5.034845,58.875,0.2,1.182
run_99_repetition_0,DONE,r50,no,for_loop,10.042496,58.656,0.2,2.651
run_1_repetition_0,DONE,r1,no,for_loop,10.041555,60.456,0.2,2.718
run_87_repetition_0,DONE,r44,no,for_loop,10.025333,59.756,0.2,2.388
run_39_repetition_0,DONE,r20,no,for_loop,10.034643,58.489,0.2,2.651
run_164_repetition_0,DONE,r83,yes,for_loop,5.048889,59.475,0.2,1.172
run_187_repetition_0,DONE,r94,no,for_loop,10.041351,57.489,0.2,2.624
run_191_repetition_0,DONE,r96,no,for_loop,10.031551,58.967,0.2,2.667
run_163_repetition_0,DONE,r82,no,for_loop,10.046665,58.189,0.2,2.632
run_168_repetition_0,DONE,r85,yes,for_loop,5.03533,58.75,0.2,1.165
run_188_repetition_0,DONE,r95,yes,for_loop,5.034637,58.775,0.2,1.177
run_96_repetition_0,DONE,r49,yes,for_loop,5.036197,60.8,0.2,1.222
run_160_repetition_0,DONE,r81,yes,for_loop,5.042229,58.575,0.2,1.181
run_124_repetition_0,DONE,r63,yes,for_loop,5.038349,61.025,0.2,1.197
run_154_repetition_0,DONE,r78,yes,for_loop,5.050828,58.85,0.2,1.176
run_156_repetition_0,DONE,r79,yes,for_loop,5.052516,59.975,0.2,1.192
run_13_repetition_0,DONE,r7,no,for_loop,10.029191,60.578,0.2,2.721
run_52_repetition_0,DONE,r27,yes,for_loop,5.036862,57.575,0.2,1.182
run_20_repetition_0,DONE,r11,yes,for_loop,5.040824,59.775,0.2,1.183
run_133_repetition_0,DONE,r67,no,for_loop,10.042594,58.633,0.2,2.656
run_177_repetition_0,DONE,r89,no,for_loop,10.038712,60.711,0.2,2.438
run_100_repetition_0,DONE,r51,yes,for_loop,5.024493,60.35,0.2,1.201
run_108_repetition_0,DONE,r55,yes,for_loop,5.043291,59.175,0.2,1.183
run_119_repetition_0,DONE,r60,no,for_loop,10.036233,59.778,0.2,2.683
run_5_repetition_0,DONE,r3,no,for_loop,10.027184,59.3,0.2,2.415
run_75_repetition_0,DONE,r38,no,for_loop,10.036159,57.578,0.2,2.595
run_49_repetition_0,DONE,r25,no,for_loop,10.045968,60.867,0.2,2.751
run_194_repetition_0,DONE,r98,yes,for_loop,5.026216,58.725,0.2,1.175
run_64_repetition_0,DONE,r33,yes,for_loop,5.043705,60.85,0.2,1.217
run_171_repetition_0,DONE,r86,no,for_loop,10.033981,59.844,0.2,2.696
run_2_repetition_0,DONE,r2,yes,for_loop,5.046088,58.55,0.2,1.183
run_127_repetition_0,DONE,r64,no,for_loop,10.056739,59.9,0.2,2.722
run_117_repetition_0,DONE,r59,no,for_loop,10.045104,60.6,0.2,2.759
run_35_repetition_0,DONE,r18,no,for_loop,10.031968,60.411,0.2,2.692
run_128_repetition_0,DONE,r65,yes,for_loop,5.03755,58.625,0.2,1.159
run_46_repetition_0,DONE,r24,yes,for_loop,5.040865,57.5,0.2,1.156
run_162_repetition_0,DONE,r82,yes,for_loop,5.041961,63.2,0.2,1.283
run_95_repetition_0,DONE,r48,no,for_loop,10.041264,60.911,0.2,2.756
run_90_repetition_0,DONE,r46,yes,for_loop,5.05222,61.225,0.2,1.227
run_169_repetition_0,DONE,r85,no,for_loop,10.046529,61.189,0.2,2.738
run_118_repetition_0,DONE,r60,yes,for_loop,5.029732,59.2,0.2,1.19
run_101_repetition_0,DONE,r51,no,for_loop,10.056909,56.287,0.2,2.079
run_21_repetition_0,DONE,r11,no,for_loop,10.040932,58.078,0.2,2.674
run_16_repetition_0,DONE,r9,yes,for_loop,5.039698,60.7,0.2,1.17
run_184_repetition_0,TODO,r93,yes,for_loop, , , , 
run_129_repetition_0,DONE,r65,no,for_loop,10.020521,58.067,0.2,2.575
run_166_repetition_0,DONE,r84,yes,for_loop,5.031058,55.7,0.2,1.071
