__run_id,__done,run_number,optimization,loop_type,execution_time,cpu_usage,memory_usage,energy_usage
run_4_repetition_0,DONE,r1,yes,loop4_opt_batching,21.772263,100.0,2.605,59.926
run_28_repetition_0,DONE,r6,yes,loop3_opt_cacheblocking,35.435686,99.856,3.374,95.021
run_2_repetition_0,DONE,r1,yes,loop3_opt_batching,19.424002,94.733,1.583,42.903
run_5_repetition_0,DONE,r2,yes,loop1_opt_cacheblocking,19.053949,99.911,2.072,49.912
run_20_repetition_0,DONE,r5,yes,loop1_opt_cacheblocking,19.665437,99.711,1.963,50.681
run_3_repetition_0,DONE,r1,yes,loop3_opt_cacheblocking,34.775345,99.867,3.312,99.656
run_19_repetition_0,DONE,r4,yes,loop4_opt_batching,23.417639,99.641,2.7,59.406
run_24_repetition_0,DONE,r5,yes,loop4_opt_batching,21.75835,99.75,2.575,59.235
run_11_repetition_0,DONE,r3,yes,loop2_opt_batching,67.538132,97.3,0.2,173.673
run_29_repetition_0,DONE,r6,yes,loop4_opt_batching,22.528634,99.71,2.595,59.057
run_1_repetition_0,DONE,r1,yes,loop2_opt_batching,59.399041,99.809,0.2,171.707
run_26_repetition_0,DONE,r6,yes,loop2_opt_batching,58.058882,99.784,0.2,172.082
run_16_repetition_0,DONE,r4,yes,loop2_opt_batching,62.436113,96.907,0.2,172.386
run_14_repetition_0,DONE,r3,yes,loop4_opt_batching,22.503431,97.671,2.586,59.596
run_12_repetition_0,DONE,r3,yes,loop3_opt_batching,17.04135,99.888,1.65,45.615
run_25_repetition_0,DONE,r6,yes,loop1_opt_cacheblocking,18.998373,99.922,2.067,51.412
run_9_repetition_0,DONE,r2,yes,loop4_opt_batching,21.785498,99.933,2.6,60.711
run_17_repetition_0,DONE,r4,yes,loop3_opt_batching,17.275004,99.869,1.638,48.003
run_22_repetition_0,DONE,r5,yes,loop3_opt_batching,17.034681,100.062,1.65,45.269
run_7_repetition_0,DONE,r2,yes,loop3_opt_batching,18.718674,97.535,1.629,42.175
run_0_repetition_0,DONE,r1,yes,loop1_opt_cacheblocking,19.990458,99.679,2.068,46.089
run_6_repetition_0,DONE,r2,yes,loop2_opt_batching,62.167373,99.228,0.2,168.297
run_21_repetition_0,DONE,r5,yes,loop2_opt_batching,61.801914,99.738,0.2,171.05
run_10_repetition_0,DONE,r3,yes,loop1_opt_cacheblocking,19.416543,99.794,2.039,50.273
run_8_repetition_0,DONE,r2,yes,loop3_opt_cacheblocking,36.301751,99.874,3.397,96.141
run_23_repetition_0,DONE,r5,yes,loop3_opt_cacheblocking,34.721589,99.897,3.312,100.542
run_18_repetition_0,DONE,r4,yes,loop3_opt_cacheblocking,35.206512,99.55,3.215,100.918
run_13_repetition_0,DONE,r3,yes,loop3_opt_cacheblocking,36.379983,99.771,3.391,100.41
run_15_repetition_0,DONE,r4,yes,loop1_opt_cacheblocking,21.596039,99.42,2.1,50.489
run_27_repetition_0,DONE,r6,yes,loop3_opt_batching,20.512773,99.095,1.668,42.399
